"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"35RASMT2BHNTRX";1;"35RASMT2BHNTRX";;;
2;"J2";"CONN04_901210124_MOL";1;"901210124";;;
