Format Version,1.23,Take Name,Take 2025-07-31 09.46.21 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 09.46.22.302 AM,Total Frames in Take,1181,Total Exported Frames,1181,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
72,1.200000,175.651367,-14.972465,-178.962738,1.023183,0.988916,0.484235
73,1.216667,175.107635,-14.537525,-179.464752,1.023818,0.988055,0.482954
74,1.233333,175.277908,-14.866293,-178.952621,1.023713,0.987431,0.481557
75,1.250000,174.707886,-14.674573,-179.527023,1.024708,0.986654,0.480357
76,1.266667,174.232925,-14.406580,-179.563049,1.024603,0.986354,0.479351
77,1.283333,173.775711,-13.923245,-178.650192,1.023671,0.985387,0.478339
78,1.300000,174.151794,-13.826892,-178.648987,1.024409,0.983955,0.475998
79,1.316667,174.363739,-14.287640,-177.836319,1.024156,0.983070,0.474990
80,1.333333,174.195023,-13.877064,-178.276215,1.023732,0.982953,0.473548
81,1.350000,174.262665,-13.839971,-177.987534,1.024096,0.981691,0.471838
82,1.366667,174.392715,-13.927612,-178.361847,1.024685,0.980423,0.470315
83,1.383333,175.153595,-13.619543,-178.440826,1.024342,0.979678,0.467397
84,1.400000,174.621140,-13.716890,-178.172287,1.023688,0.978980,0.466550
85,1.416667,174.565765,-13.888343,-177.342010,1.022203,0.977773,0.465038
86,1.433333,174.316772,-13.651214,-177.166107,1.021772,0.977028,0.463379
87,1.450000,174.638565,-13.764958,-176.710785,1.021312,0.975897,0.461362
88,1.466667,174.252686,-13.584912,-176.723007,1.021295,0.975498,0.460172
89,1.483333,174.773422,-13.493691,-175.718948,1.020045,0.975342,0.458233
90,1.500000,174.876801,-13.699007,-175.899567,1.020547,0.974911,0.456849
91,1.516667,174.749603,-13.526559,-175.720764,1.019650,0.974981,0.454994
92,1.533333,175.221680,-13.646939,-175.062653,1.019572,0.974138,0.452737
93,1.550000,174.955185,-13.219415,-175.554245,1.019490,0.974051,0.451235
94,1.566667,175.174881,-13.345392,-174.592712,1.018239,0.973565,0.449509
95,1.583333,175.133698,-13.413638,-176.166306,1.019847,0.973114,0.447688
96,1.600000,174.818832,-12.875541,-177.070160,1.020479,0.973053,0.445797
97,1.616667,174.563370,-12.838762,-177.364105,1.020749,0.972972,0.444131
98,1.633333,174.242096,-12.358344,-177.104507,1.020490,0.972755,0.443027
99,1.650000,174.901215,-12.645074,-176.823441,1.020070,0.971758,0.440012
100,1.666667,174.768661,-12.933836,-177.383820,1.021124,0.971070,0.438647
101,1.683333,175.234222,-12.596940,-175.520966,1.018575,0.970585,0.436516
102,1.700000,175.198700,-12.302251,-177.949966,1.021747,0.969339,0.434272
103,1.716667,175.893051,-12.551662,-177.928497,1.022156,0.968209,0.431843
104,1.733333,175.545990,-11.914918,-177.902115,1.021378,0.967362,0.430374
105,1.750000,176.366470,-12.347524,-178.505493,1.021042,0.965758,0.427690
106,1.766667,175.413864,-11.945049,-178.695557,1.020649,0.964731,0.427395
107,1.783333,175.562927,-11.843783,179.307770,1.021915,0.963044,0.424847
108,1.800000,174.961212,-11.776677,179.879501,1.020942,0.961837,0.423921
109,1.816667,175.634872,-11.774674,179.904755,1.020417,0.960493,0.421767
110,1.833333,175.782425,-11.800539,-179.905991,1.019868,0.958783,0.419452
111,1.850000,175.572098,-11.612560,-179.622513,1.019067,0.957737,0.418432
112,1.866667,175.581802,-11.800773,-178.541031,1.016874,0.956742,0.417152
113,1.883333,175.476486,-12.087200,-177.726700,1.014784,0.956277,0.416405
114,1.900000,175.733154,-12.042550,-177.808670,1.014680,0.955430,0.414418
115,1.916667,175.853119,-12.099199,-177.909866,1.012734,0.955094,0.412608
116,1.933333,175.035355,-12.126213,-177.841385,1.011595,0.955497,0.412405
117,1.950000,174.407959,-12.112514,-178.449539,1.010005,0.955964,0.411180
118,1.966667,175.460007,-12.028575,-177.869644,1.007396,0.955878,0.409218
119,1.983333,174.723358,-11.815888,-178.694031,1.007571,0.956255,0.408056
120,2.000000,175.615631,-12.396617,-177.151382,1.004154,0.957176,0.406046
121,2.016667,175.397232,-12.505557,-176.750595,1.002950,0.957193,0.405473
122,2.033333,175.102280,-12.427869,-176.958008,1.001546,0.957925,0.404254
123,2.050000,175.461395,-12.626609,-175.188980,0.998147,0.958649,0.402810
124,2.066667,174.874344,-12.939673,-175.555023,0.997335,0.959285,0.402112
125,2.083333,174.982452,-13.025457,-175.124207,0.994959,0.960086,0.400753
126,2.100000,175.164795,-13.031386,-175.608948,0.993977,0.960275,0.398803
127,2.116667,174.747940,-13.250414,-175.987030,0.993053,0.961159,0.397768
128,2.133333,174.839569,-12.960891,-176.139603,0.991505,0.962238,0.396231
129,2.150000,174.384079,-13.040627,-175.803436,0.989057,0.963403,0.395864
130,2.166667,174.241119,-13.234773,-175.398514,0.987013,0.964723,0.393924
131,2.183333,174.776413,-13.420043,-176.372330,0.987174,0.964137,0.391196
132,2.200000,174.472748,-14.172688,-175.050354,0.985576,0.965270,0.390370
133,2.216667,173.885529,-14.455802,-174.847519,0.984542,0.965959,0.389832
134,2.233333,174.197906,-14.787572,-173.949188,0.982267,0.966085,0.387598
135,2.250000,173.872330,-14.588487,-174.370483,0.981871,0.965957,0.386043
136,2.266667,173.959732,-14.853907,-174.366150,0.980660,0.965871,0.384078
137,2.283333,174.385208,-14.894357,-174.841675,0.979834,0.965282,0.381413
138,2.300000,174.448975,-15.183070,-174.009781,0.978021,0.965864,0.379746
139,2.316667,174.197678,-15.184906,-175.371109,0.978297,0.965414,0.377760
140,2.333333,173.765488,-15.547562,-176.256256,0.977961,0.965335,0.375822
141,2.350000,174.446320,-15.697886,-177.206100,0.978678,0.964090,0.372690
142,2.366667,174.749786,-16.008234,-176.362045,0.977235,0.963759,0.370243
143,2.383333,173.735916,-15.970651,-177.000397,0.977600,0.964691,0.369196
144,2.400000,174.347153,-16.714762,-175.635895,0.975884,0.964261,0.366659
145,2.416667,174.323639,-16.934763,-175.066940,0.974709,0.964683,0.364321
146,2.433333,174.498978,-17.456656,-175.470169,0.974758,0.963511,0.361700
147,2.450000,174.935242,-17.481710,-175.073364,0.973612,0.963806,0.358897
148,2.466667,173.921173,-17.942553,-176.547058,0.974875,0.962583,0.357095
149,2.483333,174.971741,-17.980377,-175.739639,0.972999,0.961495,0.352957
150,2.500000,174.066620,-18.474514,-177.932495,0.975130,0.960551,0.351017
151,2.516667,174.026596,-18.514549,-177.981857,0.974827,0.960367,0.348668
152,2.533333,173.984299,-18.960875,-178.364899,0.974610,0.960443,0.345774
153,2.550000,173.966705,-19.324289,-178.836060,0.974846,0.959952,0.342694
154,2.566667,174.239273,-19.625656,-178.046539,0.973290,0.960286,0.340107
155,2.583333,174.332214,-20.195618,-177.827911,0.973105,0.959127,0.337413
156,2.600000,174.416840,-20.634048,-176.819244,0.971606,0.958769,0.334588
157,2.616667,173.720291,-20.640011,-177.728531,0.972266,0.957855,0.332275
158,2.633333,174.028885,-21.187138,-177.568436,0.971692,0.956827,0.329137
159,2.650000,175.054001,-21.764194,-176.772873,0.969593,0.954911,0.325195
160,2.666667,173.900085,-22.089346,-178.647324,0.971427,0.954224,0.323037
161,2.683333,173.749741,-22.434361,-179.588440,0.971520,0.953819,0.320124
162,2.700000,173.840454,-23.039028,-179.344177,0.970440,0.952829,0.317262
163,2.716667,174.163803,-23.590221,-179.453171,0.969588,0.951706,0.314047
164,2.733333,174.506287,-24.256836,-179.723938,0.969421,0.950368,0.310372
165,2.750000,174.763229,-24.635290,-178.964859,0.967696,0.949650,0.307692
166,2.766667,174.232040,-25.066217,-178.657181,0.967045,0.948251,0.305263
167,2.783333,174.450653,-25.849148,-178.208893,0.966012,0.947042,0.302390
168,2.800000,174.581009,-26.140165,-177.456314,0.964407,0.945857,0.299539
169,2.816667,175.267105,-26.876772,-176.783783,0.962887,0.944467,0.296177
170,2.833333,174.937485,-27.276657,-177.441406,0.962860,0.943461,0.293285
171,2.850000,174.689911,-27.979689,-177.614471,0.961909,0.941898,0.290810
172,2.866667,175.334869,-28.242233,-177.627335,0.961098,0.940440,0.287181
173,2.883333,174.895386,-28.969278,-179.069382,0.961048,0.940737,0.284407
174,2.900000,175.289352,-29.404972,-179.119492,0.960274,0.939405,0.281325
175,2.916667,175.654282,-29.865313,-179.028229,0.959617,0.938470,0.278276
176,2.933333,176.712372,-30.941010,-178.073898,0.957787,0.938250,0.275082
177,2.950000,176.654755,-31.403728,-178.536285,0.957190,0.938358,0.272375
178,2.966667,176.523911,-32.166386,-178.066315,0.956279,0.938269,0.270633
179,2.983333,177.027847,-32.658550,-177.457092,0.954576,0.938220,0.268219
180,3.000000,177.508636,-33.108818,-177.975555,0.954310,0.937623,0.264863
181,3.016667,177.379990,-33.689686,-178.239380,0.953392,0.938145,0.263318
182,3.033333,177.314087,-34.397911,-178.483658,0.952614,0.938060,0.261183
183,3.050000,177.171036,-35.065388,-179.380417,0.952051,0.937794,0.258952
184,3.066667,177.006729,-35.713684,-179.652634,0.951850,0.937927,0.257247
185,3.083333,176.857788,-36.099266,-179.112427,0.950432,0.938525,0.256456
186,3.100000,177.120804,-37.192020,-179.041855,0.949807,0.938181,0.254853
187,3.116667,177.064697,-37.827950,-179.082993,0.948690,0.938277,0.253885
188,3.133333,177.098969,-38.796036,-178.542343,0.947658,0.937951,0.252889
189,3.150000,177.027161,-39.360619,-178.256561,0.946833,0.937363,0.251971
190,3.166667,176.715942,-40.041645,-178.038712,0.946046,0.936986,0.251505
191,3.183333,176.883575,-40.977329,-178.279694,0.945082,0.937047,0.250142
192,3.200000,175.999481,-41.545357,-179.148926,0.944777,0.936988,0.249663
193,3.216667,175.874146,-42.005703,-179.399841,0.944431,0.936680,0.249155
194,3.233333,175.244141,-42.617805,179.915466,0.944085,0.936821,0.248996
195,3.250000,174.448990,-43.266304,179.544693,0.943164,0.936830,0.249566
196,3.266667,174.663345,-44.497421,179.161636,0.942080,0.936406,0.248455
197,3.283333,174.312515,-44.735363,179.011581,0.942238,0.936281,0.248450
198,3.300000,174.214584,-45.894840,179.574463,0.940873,0.936492,0.248683
199,3.316667,174.099930,-46.721870,179.547485,0.940082,0.936703,0.248497
200,3.333333,173.603241,-47.425671,179.317566,0.939672,0.936418,0.248664
201,3.350000,172.960526,-48.285427,178.982742,0.939669,0.936099,0.248705
202,3.366667,172.367935,-49.000740,178.854752,0.938777,0.935857,0.249104
203,3.383333,171.947876,-49.979282,178.268356,0.938405,0.935770,0.249304
204,3.400000,171.542831,-50.709946,177.711395,0.937316,0.935663,0.249202
205,3.416667,170.983505,-51.355556,177.132782,0.936954,0.935131,0.249232
206,3.433333,170.676163,-52.007763,176.435867,0.936316,0.934660,0.249085
207,3.450000,169.992096,-52.814697,175.902100,0.935681,0.934266,0.249297
208,3.466667,169.676773,-53.545818,175.541199,0.935060,0.934110,0.249289
209,3.483333,169.484009,-54.383129,175.483292,0.934013,0.933918,0.248781
210,3.500000,169.465775,-55.354759,175.984802,0.932386,0.933827,0.249617
211,3.516667,169.319962,-56.366203,175.980240,0.931586,0.933255,0.248942
212,3.533333,169.301605,-57.251179,175.794617,0.930487,0.933165,0.248566
213,3.550000,169.161682,-58.147655,175.459900,0.929608,0.933344,0.248157
214,3.566667,168.780807,-58.801582,175.439728,0.927699,0.934013,0.248247
215,3.583333,168.284256,-59.669006,174.723999,0.926663,0.933802,0.247719
216,3.600000,167.500519,-60.428741,173.644821,0.925707,0.933519,0.247391
217,3.616667,167.472336,-61.184380,173.261887,0.924304,0.933645,0.246880
218,3.633333,166.869476,-62.134060,172.147934,0.923099,0.934024,0.246204
219,3.650000,166.686737,-63.086369,171.801559,0.922056,0.935036,0.245827
220,3.666667,166.783401,-63.933746,171.363907,0.920720,0.935526,0.245108
221,3.683333,167.270889,-65.344757,171.888031,0.918139,0.936755,0.244625
222,3.700000,167.840637,-65.891930,172.167480,0.916546,0.937342,0.243766
223,3.716667,166.788010,-66.735809,172.191162,0.914014,0.938709,0.244468
224,3.733333,166.488358,-67.739410,172.151276,0.912591,0.939126,0.244127
225,3.750000,166.054779,-68.821396,171.839249,0.911145,0.939350,0.243726
226,3.766667,164.415741,-69.610603,170.816238,0.909378,0.939683,0.244084
227,3.783333,164.260101,-70.490143,170.599228,0.906931,0.939590,0.243712
228,3.800000,163.317612,-71.195091,169.310669,0.905547,0.939160,0.242866
229,3.816667,163.484390,-72.127907,169.129089,0.903498,0.938494,0.242063
230,3.833333,163.550186,-73.369637,168.972626,0.901195,0.937990,0.241480
231,3.850000,162.169266,-74.377106,167.159378,0.899992,0.937675,0.241013
232,3.866667,162.022507,-74.936447,167.534805,0.897692,0.937665,0.240690
233,3.883333,160.537292,-75.925079,166.022415,0.896041,0.937644,0.240018
234,3.900000,158.446289,-76.934753,164.220245,0.894304,0.937468,0.239744
235,3.916667,159.458572,-77.828667,166.153656,0.890700,0.937666,0.239887
236,3.933333,157.311844,-78.822449,164.360840,0.889444,0.937030,0.239343
237,3.950000,151.298294,-79.380058,158.495605,0.888504,0.936582,0.239138
238,3.966667,151.877213,-80.136383,159.083206,0.886147,0.935646,0.238417
239,3.983333,146.270081,-80.930794,152.669617,0.884523,0.934780,0.236719
240,4.000000,143.800766,-81.405052,149.833832,0.882656,0.933955,0.235678
241,4.016667,139.432556,-82.369415,144.985977,0.881165,0.932990,0.234859
242,4.033333,140.490906,-83.198334,145.990875,0.878021,0.932075,0.233648
243,4.050000,135.121536,-83.921928,140.683685,0.876799,0.931386,0.232795
244,4.066667,124.509842,-84.543259,130.133057,0.874910,0.930735,0.232169
