Format Version,1.23,Take Name,Take 2025-07-31 09.20.23 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 09.20.24.047 AM,Total Frames in Take,2141,Total Exported Frames,2141,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,165.153473,-72.594963,170.649963,0.819460,0.819779,0.331846
1,0.016667,163.540756,-72.886810,168.611862,0.820808,0.829014,0.332299
2,0.033333,164.837616,-72.712143,170.998123,0.820174,0.838263,0.334911
3,0.050000,164.256882,-72.894516,170.311752,0.820946,0.846359,0.335856
4,0.066667,161.585739,-72.646019,168.532822,0.821602,0.856507,0.338436
5,0.083333,162.417130,-72.501137,169.097076,0.821659,0.864531,0.339146
6,0.100000,161.537476,-72.622932,168.617828,0.822415,0.873189,0.340749
7,0.116667,161.563080,-72.811447,168.217087,0.822236,0.882486,0.341312
8,0.133333,161.278549,-72.410614,168.490097,0.822871,0.889711,0.343207
9,0.150000,162.093521,-72.557518,169.946106,0.822558,0.898454,0.344880
10,0.166667,162.093582,-72.491035,169.301605,0.823182,0.905807,0.345031
11,0.183333,162.607666,-72.446548,170.337219,0.823236,0.913673,0.346565
12,0.200000,162.970505,-72.692284,170.870300,0.823106,0.921060,0.347953
13,0.216667,161.583923,-72.392860,169.317474,0.824277,0.927857,0.347989
14,0.233333,161.980362,-72.896858,170.201492,0.823573,0.935575,0.349295
15,0.250000,161.642807,-72.563606,169.790222,0.824419,0.942122,0.349665
16,0.266667,160.704681,-72.384460,168.613586,0.824977,0.949589,0.349437
17,0.283333,160.831497,-72.430122,169.153946,0.825510,0.955407,0.350701
18,0.300000,161.047836,-72.387360,169.459625,0.824943,0.961871,0.351022
19,0.316667,159.569382,-72.015129,168.404358,0.826123,0.967920,0.351643
20,0.333333,160.842850,-72.518089,169.409515,0.826086,0.974520,0.351102
