Format Version,1.23,Take Name,Take 2025-07-31 10.02.01 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 10.02.01.598 AM,Total Frames in Take,1139,Total Exported Frames,1139,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,62.906158,80.095383,-57.747448,0.769981,0.928064,0.320833
1,0.016667,61.488888,79.719917,-56.595959,0.769553,0.930032,0.326842
2,0.033333,60.711658,79.506607,-56.511940,0.769900,0.931376,0.332928
3,0.050000,60.476963,79.210258,-56.791904,0.770236,0.931450,0.338848
4,0.066667,59.535583,79.050064,-55.393772,0.770610,0.932998,0.343362
5,0.083333,62.318584,78.357796,-58.593147,0.770128,0.933715,0.349246
6,0.100000,58.420364,78.857384,-53.583488,0.772067,0.935108,0.353129
7,0.116667,55.519489,78.973717,-51.823944,0.773435,0.936380,0.360067
8,0.133333,57.140617,78.924866,-52.539341,0.774849,0.937310,0.364410
9,0.150000,54.832527,78.580833,-52.351482,0.775630,0.938575,0.372247
10,0.166667,54.770302,78.737015,-51.003437,0.778051,0.938994,0.375744
11,0.183333,51.451458,78.773300,-47.939034,0.780646,0.939974,0.381673
12,0.200000,50.567596,78.520821,-47.729004,0.782193,0.941201,0.387274
13,0.216667,51.012501,78.478889,-49.143024,0.785177,0.942289,0.394129
14,0.233333,50.809734,77.827110,-48.489655,0.786191,0.943591,0.398108
15,0.250000,50.723511,77.803879,-48.957634,0.788730,0.945347,0.404215
16,0.266667,49.937614,77.407639,-49.413330,0.791775,0.945501,0.410075
17,0.283333,49.313313,77.602654,-48.283577,0.795566,0.947179,0.414701
18,0.300000,47.640812,77.303932,-47.571484,0.798407,0.948084,0.420229
19,0.316667,43.974064,77.966324,-41.733929,0.803653,0.949240,0.422128
20,0.333333,44.188881,77.484207,-43.741982,0.806296,0.950182,0.428732
