Format Version,1.23,Take Name,Take 2025-07-31 09.58.40 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 09.58.41.509 AM,Total Frames in Take,1834,Total Exported Frames,1834,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,164.085678,4.955550,-171.294250,0.795078,0.965853,0.519812
1,0.016667,163.577469,4.890920,-171.176270,0.785033,0.964289,0.518982
2,0.033333,164.264114,4.821658,-170.690216,0.774711,0.962023,0.515643
3,0.050000,164.037399,4.764161,-170.074402,0.764828,0.960220,0.513445
4,0.066667,164.082977,4.573124,-170.283386,0.755555,0.958309,0.510193
5,0.083333,164.107544,4.511842,-168.382874,0.744945,0.956840,0.506511
6,0.100000,164.694168,4.290169,-169.808548,0.737888,0.954387,0.501623
7,0.116667,164.246918,4.404229,-167.941467,0.728371,0.952182,0.497505
8,0.133333,165.164078,4.088063,-168.780670,0.720661,0.950691,0.491264
9,0.150000,164.983475,4.133776,-167.444824,0.712543,0.948764,0.485931
10,0.166667,165.120422,4.020400,-166.695236,0.703921,0.947909,0.480285
11,0.183333,165.723663,3.846407,-167.816711,0.698430,0.946098,0.473202
12,0.200000,166.234436,3.670599,-166.062988,0.689955,0.944582,0.465710
13,0.216667,166.921951,3.622107,-166.836243,0.684800,0.943578,0.458061
14,0.233333,167.106064,3.638842,-166.033112,0.678884,0.942151,0.450390
15,0.250000,167.529541,3.531026,-165.472885,0.673301,0.940763,0.442309
16,0.266667,167.580353,3.496891,-165.663406,0.668749,0.940390,0.434150
17,0.283333,168.351578,3.007765,-164.893539,0.663924,0.939151,0.424984
18,0.300000,169.180511,3.166848,-165.621017,0.660864,0.937762,0.414795
19,0.316667,169.657837,3.128977,-165.165878,0.657318,0.937333,0.405897
20,0.333333,169.940613,3.019844,-165.131241,0.654442,0.937179,0.396110
