Format Version,1.23,Take Name,Take 2025-07-31 09.30.16 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 09.30.17.067 AM,Total Frames in Take,2102,Total Exported Frames,2102,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,160.934540,74.107315,-157.639664,0.774695,0.938908,0.211580
1,0.016667,160.688766,74.429947,-157.253616,0.774772,0.939018,0.211246
2,0.033333,160.198700,74.779503,-156.463364,0.774793,0.938926,0.210780
3,0.050000,160.405151,75.139603,-157.003677,0.775032,0.938958,0.210727
4,0.066667,161.150955,75.761543,-156.795624,0.775228,0.938512,0.208939
5,0.083333,160.344208,75.825951,-156.303802,0.775432,0.938634,0.209472
6,0.100000,160.461426,76.276016,-156.670624,0.775601,0.938704,0.209541
7,0.116667,160.145264,76.540131,-156.288193,0.775632,0.938677,0.209238
8,0.133333,157.998840,76.586060,-153.943375,0.775220,0.938688,0.208890
9,0.150000,158.015823,76.897171,-153.905350,0.775346,0.938514,0.208650
10,0.166667,157.926086,77.193047,-153.876022,0.775599,0.938478,0.208522
11,0.183333,158.000153,77.730186,-154.045761,0.775640,0.938853,0.208170
12,0.200000,155.600128,77.974701,-151.943695,0.775494,0.939008,0.208374
13,0.216667,153.455719,78.235924,-148.773834,0.775111,0.938487,0.206893
14,0.233333,153.000076,78.556824,-148.745880,0.775612,0.938772,0.207451
15,0.250000,151.558411,78.880150,-147.306763,0.775563,0.938767,0.207218
16,0.266667,150.858307,79.142105,-147.182602,0.775695,0.938967,0.208035
17,0.283333,151.477402,79.904762,-147.588150,0.776103,0.938771,0.207220
18,0.300000,147.100342,79.723366,-143.670868,0.775224,0.939247,0.207856
19,0.316667,146.043350,80.126411,-142.097656,0.775278,0.939278,0.207469
20,0.333333,148.809738,80.824043,-144.159729,0.776209,0.939170,0.205927
