Format Version,1.23,Take Name,Take 2025-07-31 09.34.12 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 09.34.13.375 AM,Total Frames in Take,2107,Total Exported Frames,2107,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,7.044956,-44.925007,5.278459,0.768051,0.925713,0.273652
1,0.016667,6.350366,-45.125343,4.526556,0.765618,0.925210,0.278821
2,0.033333,6.412477,-45.544590,4.332350,0.763920,0.923974,0.284006
3,0.050000,6.942144,-45.677277,4.492770,0.762902,0.923095,0.288694
4,0.066667,6.543246,-45.752766,5.023285,0.762422,0.921965,0.294564
5,0.083333,5.792027,-46.608173,3.597280,0.759531,0.921723,0.299614
6,0.100000,5.566070,-46.871449,4.781468,0.759613,0.920966,0.306433
7,0.116667,5.649194,-46.592247,4.548636,0.759129,0.921098,0.311238
8,0.133333,5.330334,-47.099403,4.894877,0.758757,0.920987,0.317645
9,0.150000,3.756827,-47.349701,3.963484,0.757600,0.920597,0.324417
10,0.166667,4.121269,-47.838562,3.364480,0.756487,0.921795,0.328918
11,0.183333,3.868461,-47.961956,3.959558,0.757238,0.922122,0.335558
12,0.200000,3.754827,-48.386776,3.083544,0.756829,0.922881,0.341269
13,0.216667,3.994303,-48.313046,3.711763,0.757821,0.923439,0.347152
14,0.233333,3.207088,-48.982510,3.372211,0.758352,0.924506,0.353617
15,0.250000,3.054799,-49.152687,4.238767,0.759831,0.925491,0.361051
16,0.266667,3.097709,-49.321949,3.536486,0.760400,0.926443,0.365901
17,0.283333,0.981271,-49.579502,3.410663,0.761106,0.926712,0.374595
18,0.300000,1.043392,-49.868340,2.904702,0.762450,0.927367,0.379379
19,0.316667,1.415007,-50.204433,3.982349,0.764378,0.928951,0.385874
20,0.333333,1.412869,-50.126434,3.723855,0.766608,0.929514,0.390993
