Format Version,1.23,Take Name,Take 2025-07-31 09.39.20 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 09.39.20.759 AM,Total Frames in Take,1623,Total Exported Frames,1623,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,9.797361,36.185307,-0.386901,0.746648,0.870884,0.160878
1,0.016667,9.439756,36.308449,-0.403123,0.745739,0.871514,0.165880
2,0.033333,10.182717,36.945267,0.571080,0.746564,0.872401,0.168449
3,0.050000,10.199997,36.868732,-0.711867,0.744466,0.873025,0.174360
4,0.066667,10.402082,37.375443,-0.560038,0.744273,0.873899,0.178334
5,0.083333,10.910604,37.485062,-0.272379,0.744103,0.874689,0.182440
6,0.100000,10.249620,37.308331,-1.859627,0.741725,0.875365,0.189995
7,0.116667,10.490628,37.911457,-0.949035,0.742225,0.876301,0.194335
8,0.133333,10.418234,37.995403,-1.692659,0.741001,0.877017,0.200258
9,0.150000,10.667457,38.250008,-2.054830,0.739770,0.878627,0.205967
10,0.166667,9.625944,38.201485,-1.284551,0.740370,0.879751,0.212629
11,0.183333,9.912534,38.627655,-1.355911,0.739627,0.881173,0.218122
12,0.200000,10.098836,39.004436,-1.319793,0.739140,0.882496,0.223866
13,0.216667,9.586440,39.028042,-1.090583,0.738685,0.884397,0.230713
14,0.233333,9.137914,39.194920,-0.983770,0.738525,0.885681,0.237638
15,0.250000,9.578050,39.194618,-1.308404,0.737926,0.888252,0.243997
16,0.266667,9.557039,39.446774,-1.680237,0.737457,0.890232,0.251148
17,0.283333,9.072734,39.528130,-1.659579,0.737029,0.892861,0.258227
18,0.300000,9.484971,39.681789,-2.569045,0.736355,0.894613,0.265187
19,0.316667,8.824571,39.934635,-1.639675,0.737007,0.897833,0.271837
20,0.333333,8.541366,39.764061,-2.231976,0.735995,0.900335,0.279802
