Format Version,1.23,Take Name,Take 2025-07-31 09.42.42 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 09.42.43.045 AM,Total Frames in Take,1279,Total Exported Frames,1279,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-4.056733,-10.606977,-0.786477,0.842665,0.982507,0.445704
1,0.016667,-4.431749,-10.465887,0.622341,0.852652,0.980485,0.449734
2,0.033333,-4.258245,-9.540741,2.453526,0.864388,0.977945,0.452444
3,0.050000,-4.595737,-9.371581,2.744679,0.874127,0.974472,0.455279
4,0.066667,-4.428511,-8.832981,3.179452,0.883834,0.972226,0.456485
5,0.083333,-4.258627,-8.267938,5.194067,0.896346,0.969946,0.458362
6,0.100000,-4.699921,-7.743962,4.674191,0.904973,0.967770,0.459515
7,0.116667,-4.527044,-7.338290,4.748950,0.914747,0.964946,0.459355
8,0.133333,-4.581821,-7.120426,5.727762,0.925270,0.964050,0.460005
9,0.150000,-4.044068,-6.236709,7.337666,0.937055,0.961998,0.458916
10,0.166667,-4.238294,-5.594572,7.358203,0.945520,0.960033,0.457776
11,0.183333,-3.708810,-4.937869,8.337071,0.956185,0.958891,0.455599
12,0.200000,-3.633202,-4.810263,9.042806,0.965635,0.958498,0.453861
13,0.216667,-3.278265,-4.193896,9.506310,0.975024,0.957044,0.450636
14,0.233333,-3.648142,-3.724735,9.958360,0.984004,0.956859,0.448245
15,0.250000,-3.680071,-3.347297,11.484017,0.994935,0.957022,0.445021
16,0.266667,-3.087867,-2.849604,11.040991,1.001467,0.957026,0.439820
17,0.283333,-3.183402,-2.059273,12.223904,1.010822,0.957566,0.435536
18,0.300000,-2.620495,-1.636654,12.515905,1.018643,0.957916,0.429867
19,0.316667,-3.103862,-1.443212,13.086750,1.025225,0.959042,0.425351
20,0.333333,-3.132638,-1.264837,13.421112,1.031570,0.959813,0.420178
